idea_id,theme,text_stub,tags,seasonality_months,image_hint
GT01,gardening_tip,"Water in the early morning to reduce evaporation and help roots absorb moisture.","watering;basics","4|5|6","watering-can at dawn"
GT02,gardening_tip,"Pinch out tomato side shoots to encourage stronger fruiting.","tomato;pruning","5|6|7","tomato plant closeup"
GT03,gardening_tip,"Mulch borders to suppress weeds and retain soil moisture.","mulch;weeding;basics","3|4|5","mulch on beds"
GT04,gardening_tip,"Sow lettuce in partial shade to avoid bolting as days warm up.","lettuce;shade","5","lettuce seedlings"
GT05,gardening_tip,"Deadhead spring blooms to encourage more flowers into May.","deadheading;basics","4|5","hand pruners"
GT06,gardening_tip,"Thin carrot seedlings to a thumb's width for stronger roots.","carrot;thinning;basics","5","carrot seedlings"
NF01,nostalgia_football,"What was your favorite terrace snack back in the day? Share a memory with a garden photo.","nostalgia;conversation","1|2|3|4|5|6|7|8|9|10|11|12","old scarf with seed tray"
NF02,nostalgia_football,"Show your old match scarf next to your latest seedlings—let’s see those colors in the garden!","nostalgia;photo","1|2|3|4|5|6|7|8|9|10|11|12","scarf and seedlings"
NF03,nostalgia_football,"Which matchday song still gets you humming while pruning?","nostalgia;music","1|2|3|4|5|6|7|8|9|10|11|12","radio in shed"
NF04,nostalgia_football,"Tell us about the coldest match you stood through and the toughest plant you’ve grown.","nostalgia;story","1|2|3|4|5|6|7|8|9|10|11|12","thermos in allotment"
PR01,product_promo,"3-for-2 on seed packets this week at the club shed—stock up for summer beds.","promotion;seeds","5","seed packets display"
PR02,product_promo,"Half-price compost for community members this month—bring your bucket.","promotion;compost;basics","4|5","compost bags"
PR03,product_promo,"Free packet of pollinator-friendly seeds with any trowel purchase.","promotion;tools;pollinators","5","trowel and seed packet"
EP01,event_promo,"Join us at the May Plant Swap! Bring cuttings and spare seedlings.","event;swap","5","table of plants"
EP02,event_promo,"Workshop: Container Gardening Basics—learn tips for balconies and small spaces.","event;workshop;basics","5","potted plants on patio"